city_ascii;lat;lng
Tokyo;356897;1396922
Jakarta;-61750;1068275
Delhi;286100;772300
Guangzhou;231300;1132600
Mumbai;190761;728775
Manila;145958;1209772
Shanghai;311667;1214667
Sao Paulo;-235500;-466333
Seoul;375600;1269900
Mexico City;194333;-991333
Cairo;300444;312358
New York;406943;-739249
Dhaka;237639;903889
Beijing;399040;1164075
Kolkata;225675;883700
Bangkok;137525;1004942
Shenzhen;225350;1140540
Moscow;557558;376178
Buenos Aires;-345997;-583819
Lagos;64550;33841
Istanbul;410136;289550
Karachi;248600;670100
Bangalore;129789;775917
Ho Chi Minh City;107756;1067019
Osaka;346939;1355022
Chengdu;306600;1040633
Tehran;356892;513889
Kinshasa;-43250;153222
Rio de Janeiro;-229111;-432056
Chennai;130825;802750
Xi'an;342667;1089000
Lahore;315497;743436
Chongqing;295500;1065069
Los Angeles;341141;-1184068
Baoding;388671;1154845
London;515072;-1275
Paris;488567;23522
Linyi;351041;1183502
Dongguan;230475;1137493
Hyderabad;173850;784867
Tianjin;391467;1172056
Lima;-120600;-770375
Wuhan;305872;1142881
Nanyang;329987;1125292
Hangzhou;302500;1201675
Foshan;230292;1131056
Nagoya;351833;1369000
Taipei;250375;1215625
Tongshan;342610;1171859
Luanda;-88383;132344
Zhoukou;336250;1146418
Ganzhou;258292;1149336
Kuala Lumpur;31478;1016953
Heze;352333;1154333
Quanzhou;249139;1185858
Chicago;418375;-876866
Nanjing;320608;1187789
Jining;354000;1165667
Hanoi;210283;1058542
Pune;185203;738567
Fuyang;328986;1158045
Ahmedabad;230300;725800
Johannesburg;-262044;280456
Bogota;47111;-740722
Dar es Salaam;-68161;392803
Shenyang;418025;1234281
Khartoum;155006;325600
Shangqiu;344259;1156467
Cangzhou;383037;1168452
Hong Kong;223000;1142000
Shaoyang;272418;1114725
Zhanjiang;211967;1104031
Yancheng;333936;1201339
Hengyang;268968;1125857
Riyadh;246333;467167
Zhumadian;329773;1140253
Santiago;-334372;-706506
Xingtai;370659;1144753
Chattogram;223350;918325
Bijie;273019;1052863
Shangrao;284419;1179633
Zunyi;277050;1069336
Surat;211702;728311
Surabaya;-72458;1127378
Huanggang;304500;1148750
Maoming;216618;1109178
Nanchong;307991;1060784
Xinyang;321264;1140672
Madrid;404169;-37033
Baghdad;333153;443661
Qujing;255102;1038029
Jieyang;235533;1163649
Singapore;13000;1038000
Prayagraj;254358;818464
Liaocheng;364500;1159833
Dalian;389000;1216000
Yulin;226293;1101507
Changde;290397;1116839
Qingdao;361167;1204000
Douala;40500;97000
Miami;257840;-802101
Nangandao;352992;1138851
Pudong;312231;1215397
Xiangyang;320654;1121531
Dallas;327935;-967667
Houston;297860;-953885
Zhengzhou;347492;1136605
Lu'an;317542;1165078
Dezhou;374513;1163105
Jinan;366667;1169833
Giza;299870;312118
Zhaotong;273328;1037144
Yichun;278041;1143830
Nairobi;-12864;368172
Guadalajara;206767;-1033475
Philadelphia;400077;-751339
Ankara;399300;328500
Tai'an;362001;1170809
Dazhou;312152;1074947
Langfang;395196;1167006
Yongzhou;264515;1115953
Toronto;437417;-793733
Suihua;466384;1269808
Saint Petersburg;599500;303167
Qiqihar;473398;1239512
Suzhou;336333;1169683
Monterrey;256667;-1003000
Belo Horizonte;-199167;-439333
Weinan;344996;1094684
Rangoon;167950;961600
Zhangzhou;245093;1176612
Yuncheng;350304;1109980
Xianyang;343500;1087167
Guilin;252819;1102864
Atlanta;337628;-844220
Taizhou;324831;1199000
Kashan;339833;514333
Bozhou;338626;1157742
Abidjan;53167;-40333
Suqian;339331;1182831
Huaihua;275494;1099592
Ji'an;271172;1149793
Xiaoganzhan;309273;1139110
Pingdingshan;337350;1132999
Jiujiang;297048;1160021
Alexandria;311975;298925
Mianyang;314669;1047385
Sydney;-338678;1512100
Huanglongsi;347950;1143450
Washington;389047;-770163
Barcelona;413825;21769
Changsha;281987;1129709
Chenzhou;257989;1130267
Anqing;305000;1170333
Jiangmen;225833;1130833
Xinpu;345906;1191801
Yibin;287596;1046400
Yangzhou;323912;1194363
Melbourne;-378142;1449631
Berlin;525200;134050
Hengshui;377348;1156860
Timbio;23445;-766839
Kunming;250433;1027061
Yiyang;285833;1123333
Guigang;230961;1096092
Changchun;439000;1252000
Jiangguanchi;340244;1138201
Casablanca;335333;-75833
Meizhou;242998;1161191
Zhangjiakou;408108;1148811
Chifeng;422663;1189223
Urumqi;438225;876125
Suzhou;313000;1206194
Izmir;384200;271400
Linfen;360812;1115087
Shantou;233735;1166941
Kabul;345253;691783
Mogadishu;20392;453419
Luzhou;288918;1054409
Hefei;318639;1172808
Boston;423188;-710852
Liuzhou;243264;1094281
Zhaoqing;230500;1124667
Xiaoxita;307083;1112803
Shijiazhuang;380422;1145086
Ningbo;298750;1215492
Fuzhou;279814;1163577
Phoenix;335722;-1120892
Zhuzhou;278407;1131469
Amman;319497;359328
Chuzhou;323062;1183115
Jeddah;215433;391728
Qingyuan;236842;1130507
Loudi;277378;1119974
Binzhou;373806;1180125
Deyang;311289;1043950
Taiyuan;378733;1125425
Kano;120000;85167
Wuhu;313340;1183622
Nanning;228192;1083150
Harbin;457500;1266333
Abuja;90667;74833
Yokohama;354442;1396381
Baojishi;343609;1071751
Zaozhuang;348667;1175500
Xiamen;244797;1180819
Neijiang;295872;1050635
Fuzhou;260769;1192917
Baicheng;239010;1066194
